genre_name,movie_count
Horror,32543
Thriller,7680
Comedy,4963
Drama,4271
Mystery,3138
Science Fiction,2714
Fantasy,2195
Action,1966
Crime,1153
Animation,973
TV Movie,674
Adventure,638
Romance,629
Documentary,427
Music,304
Family,173
Western,133
History,130
War,90
