vote_average_group,movie_count,avg_popularity,median_popularity
0-4,16832,1.1996039686311788,0.6
4-5,4628,3.3433854796888505,1.828
5-6,5509,6.433399891087311,2.265
6-7,3503,13.074932058235799,2.289
7-8,1090,11.220791743119266,0.986
8-10,978,1.4919969325153375,0.6
